sample_acc	run_acc	env_feat
ERS490327	ERR599135|ERR599165	(SRF) surface water layer (ENVO:00002042)
ERS490336	ERR594349	(SRF) surface water layer (ENVO:00002042)
ERS490337	ERR594335	(SRF) surface water layer (ENVO:00002042)
ERS490346	ERR594353	(SRF) surface water layer (ENVO:00002042)
ERS490476	ERR599133|ERR599137	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490494	ERR594379	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490507	ERR599005|ERR599048	(MES) mesopelagic zone (ENVO:00000213)
ERS490522	ERR594388	(MES) mesopelagic zone (ENVO:00000213)
ERS490433	ERR598984|ERR599105	(SRF) surface water layer (ENVO:00002042)
ERS490452	ERR594364	(SRF) surface water layer (ENVO:00002042)
ERS490597	ERR599040|ERR599148	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490602	ERR594321	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490603	ERR594298	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490610	ERR594355	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490633	ERR599000|ERR599154	(MES) mesopelagic zone (ENVO:00000213)
ERS490643	ERR594333	(MES) mesopelagic zone (ENVO:00000213)
ERS490542	ERR599010|ERR599126	(SRF) surface water layer (ENVO:00002042)
ERS490547	ERR594310	(SRF) surface water layer (ENVO:00002042)
ERS490548	ERR594286	(SRF) surface water layer (ENVO:00002042)
ERS490557	ERR594354	(SRF) surface water layer (ENVO:00002042)
ERS490691	ERR599046|ERR599101	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490696	ERR594336	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490697	ERR594303	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490714	ERR599124|ERR599159	(MES) mesopelagic zone (ENVO:00000213)
ERS490722	ERR594289	(MES) mesopelagic zone (ENVO:00000213)
ERS490659	ERR599006|ERR599022	(SRF) surface water layer (ENVO:00002042)
ERS490664	ERR594340	(SRF) surface water layer (ENVO:00002042)
ERS490665	ERR594332	(SRF) surface water layer (ENVO:00002042)
ERS490676	ERR594411	(SRF) surface water layer (ENVO:00002042)
ERS490928	ERR599027|ERR599122	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490953	ERR594409	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490885	ERR599009|ERR599035	(SRF) surface water layer (ENVO:00002042)
ERS491001	ERR598945|ERR599059	(SRF) surface water layer (ENVO:00002042)
ERS491095	ERR599104|ERR599121	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS491107	ERR594377	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS491110	ERR599008|ERR599125	(MES) mesopelagic zone (ENVO:00000213)
ERS491044	ERR599090|ERR599176	(SRF) surface water layer (ENVO:00002042)
ERS491463	ERR598965	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS491421	ERR599064	(SRF) surface water layer (ENVO:00002042)
ERS491492	ERR599050	(SRF) surface water layer (ENVO:00002042)
ERS491525	ERR598967	(SRF) surface water layer (ENVO:00002042)
ERS491740	ERR599042|ERR599079	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS491767	ERR599071|ERR599085	(MES) mesopelagic zone (ENVO:00000213)
ERS491699	ERR599093|ERR599120	(SRF) surface water layer (ENVO:00002042)
ERS491804	ERR599024	(SRF) surface water layer (ENVO:00002042)
ERS491874	ERR599081|ERR599113	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS491913	ERR598946|ERR598953|ERR598981	(DCM) deep chlorophyll maximum layer (ENVO:01000326) & marine oxygen minimum zone (ENVO:01000065)
ERS491836	ERR599063|ERR599163|ERR599169	(SRF) surface water layer (ENVO:00002042)
ERS492012	ERR598962|ERR599007|ERR599168	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS491980	ERR599055|ERR599128|ERR599132	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS491938	ERR598943|ERR598978	(SRF) surface water layer (ENVO:00002042)
ERS492177	ERR598952|ERR599065|ERR599108	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492198	ERR594357|ERR594380|ERR594381|ERR594383|ERR594387	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492205	ERR598971|ERR599067	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS492145	ERR598997|ERR599118	(SRF) surface water layer (ENVO:00002042)
ERS492160	ERR594412	(SRF) surface water layer (ENVO:00002042)
ERS492264	ERR599014	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492294	ERR599020	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS492228	ERR599039	(SRF) surface water layer (ENVO:00002042)
ERS492357	ERR598961	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492381	ERR599086	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS492321	ERR599077	(SRF) surface water layer (ENVO:00002042)
ERS492445	ERR598957	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492471	ERR599072	(MES) mesopelagic zone (ENVO:00000213)
ERS492408	ERR598954	(SRF) surface water layer (ENVO:00002042)
ERS492703	ERR594284	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492699	ERR598948	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492704	ERR594304	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492705	ERR594301	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS492683	ERR594309	(MES) mesopelagic zone (ENVO:00000213)
ERS492680	ERR598999|ERR599033|ERR599083|ERR599096	(MES) mesopelagic zone (ENVO:00000213)
ERS492684	ERR594305	(MES) mesopelagic zone (ENVO:00000213)
ERS492685	ERR594322	(MES) mesopelagic zone (ENVO:00000213)
ERS492646	ERR594292	(SRF) surface water layer (ENVO:00002042)
ERS492642	ERR598992	(SRF) surface water layer (ENVO:00002042)
ERS492647	ERR594307	(SRF) surface water layer (ENVO:00002042)
ERS492648	ERR594306	(SRF) surface water layer (ENVO:00002042)
ERS492781	ERR594293	(MIX) marine epipelagic mixed layer (ENVO:01000061)
